,U,I,dI,dU,U^3/2,dU^3/2
0,0.4,3.72,0.00744,0.1,0.2529822128134704,0.09486832980505139
1,1.0,14.8,0.0296,0.1,1.0,0.15000000000000002
2,1.5,25.33,0.05066,0.1,1.8371173070873836,0.18371173070873836
3,2.0,40.41,0.08081999999999999,0.1,2.8284271247461903,0.2121320343559643
4,2.5,58.43,0.11686,0.1,3.952847075210474,0.23717082451262844
5,3.0,75.75,0.1515,0.1,5.196152422706632,0.2598076211353316
6,3.5,96.6,0.19319999999999998,0.1,6.547900426854397,0.2806243040080456
7,4.0,118.11,0.23622,0.1,8.0,0.30000000000000004
8,4.5,141.55,0.2831,0.1,9.545941546018392,0.3181980515339464
9,5.0,166.55,0.3331,0.1,11.180339887498949,0.33541019662496846
10,5.5,193.09,0.38618,0.1,12.89864333951443,0.35178118198675723
11,6.0,216.85,0.4337,0.1,14.696938456699069,0.3674234614174767
12,7.0,273.22,0.54644,0.1,18.520259177452136,0.39686269665968865
13,8.0,336.3,0.6726000000000001,0.1,22.627416997969522,0.4242640687119286
14,9.0,404.02,0.80804,0.1,27.0,0.45
15,10.0,471.48,0.94296,0.1,31.622776601683793,0.4743416490252569
16,15.0,925.1,1.8502,0.1,58.09475019311125,0.5809475019311126
17,20.0,1432.9,2.8658,0.1,89.44271909999159,0.6708203932499369
18,25.0,2030.0,4.0600000000000005,0.1,125.0,0.75
19,30.0,2676.4,5.3528,0.1,164.31676725154983,0.8215838362577492
20,35.0,3354.8,6.709600000000001,0.1,207.06279240848656,0.8874119674649424
21,40.0,4071.3,8.1426,0.1,252.98221281347034,0.9486832980505138
22,45.0,4834.1,9.6682,0.1,301.8691769624716,1.0062305898749053

