2X_s,2Y_s,"K_x, mV","K_y, mV","I,mA","U, mV",koefx,koefy,"U_x, mV","U_y, mv",dUx,dUy,"B, mT",dB,dI,H,dH
9.6,6.3,20,10,740,604,2.6666667,2.8,512.00001,176.4,0.26666667,0.28,1411.2,2.24,5,168.18182,1.1363636
9.0,6.2,20,10,686,605,2.6666667,2.8,480.00001,173.6,0.26666667,0.28,1388.8,2.24,5,155.90909,1.1363636
8.0,5.8,20,10,617,605,2.6666667,2.8,426.66667,162.4,0.26666667,0.28,1299.2,2.24,5,140.22727,1.1363636
7.2,5.4,20,10,535,605,2.6666667,2.8,384.00000,151.2,0.26666667,0.28,1209.6,2.24,5,121.59091,1.1363636
6.5,5.1,20,10,487,607,2.6666667,2.8,346.66667,142.8,0.26666667,0.28,1142.4,2.24,5,110.68182,1.1363636
4.7,4.1,20,10,350,607,2.6666667,2.8,250.66667,114.8,0.26666667,0.28,918.4,2.24,5,79.545455,1.1363636
4.0,3.6,20,10,295,607,2.6666667,2.8,213.33334,100.8,0.26666667,0.28,806.4,2.24,5,67.045455,1.1363636
6.2,5.8,10,5,235,608,2.8,2.8,173.6,81.2,0.28,0.28,649.6,2.24,5,53.409091,1.1363636
9.7,4.6,5,5,193,608,2.8,2.8,135.8,64.4,0.28,0.28,515.2,2.24,5,43.863636,1.1363636
6.5,2.8,5,5,140,607,2.8,2.8,91.,39.2,0.28,0.28,313.6,2.24,5,31.818182,1.1363636
4.1,1.1,5,5,83,609,2.8,2.8,57.4,15.4,0.28,0.28,123.2,2.24,5,18.863636,1.1363636
