hz,mH,dnu,dl,"nu_sq, kHz^2",(lmax-lmin)/(l-lmin),dnu_sq,dllll
50,15.450,0.1,0.0309,2.5e-3,1.,1e-5,3.5878410e-3
75,12.280,0.15,0.02456,5.625e-3,1.3429660,2.25e-5,5.0121171e-3
100,9.75,0.2,0.0195,0.01,1.8491114,4e-5,7.3251995e-3
150,9.75,0.3,0.0195,0.0225,1.8491114,9e-5,7.3251995e-3
250,6.41,0.5,0.01282,0.0625,3.6801862,2.5e-4,0.018076496
300,5.65,0.6,0.0113,0.09,4.7506219,3.6e-4,0.026254877
500,3.86,1.,7.72e-3,0.25,15.084336,1e-3,0.18408694
800,3.36,1.6,6.72e-3,0.64,38.441932,2.56e-3,1.0828207
1500,3.11,3.,6.22e-3,2.25,170.27298,9e-3,20.311045
2000,3.0661,4.,6.1322e-3,4,428.03103,0.016,127.40032
2500,3.0481,5.,6.0962e-3,6.25,1128.4455,0.025,882.83746
3000,3.0389,6.,6.0778e-3,9,6896.0556,0.036,32920.096
6000,3.0476,12.,6.0952e-3,36,1182.1810,0.144,968.83891
7500,3.0721,15.,6.1442e-3,56.25,354.65429,0.225,87.552102
10000,3.1442,20.,6.2884e-3,100,115.90009,0.4,9.4659439
15000,3.4353,30.,6.8706e-3,225,31.172526,0.9,0.72225517
20000,4.0413,40.,8.0826e-3,400,12.360984,1.6,0.12834448
25000,5.3892,50.,0.0107784,625,5.2773692,2.5,0.030819256
30000,9.079,60.,0.018158,900,2.0544696,3.6,8.3400147e-3
